Word,Count
the,262
of,240
to,220
building,219
and,192
or,142
information,141
room,104
you,95
for,91
a,90
university,81
we,71
in,68
your,68
is,64
college,61
may,56
our,56
by,52
as,51
any,50
personal,49
on,48
sites,46
not,46
floor,46
with,43
are,43
this,39
pomona,38
that,37
be,35
cal,34
poly,34
notice,34
other,34
engineering,31
from,30
200,30
village,30
at,28
about,28
use,28
such,28
will,26
if,25
contact,24
california,23
student,23
us,23
services,23
have,22
benefits,22
law,21
9,20
email,20
available,20
right,20
including,19
all,19
it,19
mask,19
residence,19
suites,19
3rd,19
data,18
include,18
more,17
covid19,17
state,16
health,16
campus,15
an,15
collected,15
time,15
security,15
provide,15
do,15
rights,14
privacy,14
applicable,14
when,14
which,14
please,14
social,14
library,14
one,14
content,14
masks,14
science,14
15,14
visit,13
office,13
collect,13
employees,13
but,13
required,13
management,13
no,13
